learnum_pods,num_clients,avg_speed,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,qt_sw_z1,qt_sw_z2,qt_sw_z3,total_stall,start_time,QoE
6,17,20,54,25,43,1732,0.044263699937876724,242827947.07400614,18340617468.249836,109437499186.43408,1.0,1.0,1.0,38.67939364705882,6.800000000000001e-05,14781852807.923494
6,17,30,61,25,54,2210,0.04238465723993094,163956867.2050101,12951885574.38576,77174665053.07532,1.0,1.0,1.0,24.950814235294114,9.788235294117648e-05,10422613318.939268
6,17,40,56,25,32,1769,0.04267133065753182,119776273.9195717,8962868317.072548,56949308998.03369,1.0,1.0,1.0,19.27811847058824,5.8823529411764694e-05,7571347871.065417
6,17,50,43,25,27,1002,0.03968470354077919,92347444.2900537,7613513179.587365,48602662482.08685,1.0,1.0,1.0,14.456767999999999,5.988235294117646e-05,6447612031.964835
6,17,60,32,25,30,1135,0.04263498622780652,75628797.60948698,6960197439.71749,43143669547.44665,1.0,1.0,1.0,13.404149294117646,0.00015247058823529412,5759346542.3763075
6,17,70,0,25,0,0,0.05091988661756902,107071623.039534,5939351831.421457,33304710541.982334,1.0,1.0,1.0,14.246995941176468,7.182352941176469e-05,4593291494.347808
6,17,80,50,25,0,0,0.04984939437696239,89297496.19874217,5484244097.087115,30664015885.697258,1.0,1.0,1.0,11.316976352941177,6.423529411764708e-05,4225758605.6629944
6,17,90,0,25,0,0,0.04182782068446769,73367991.64559883,5026121073.342051,28833236547.379154,1.0,1.0,1.0,8.738644529411763,6.441176470588236e-05,3939905424.9817963
6,17,100,0,25,0,0,0.04367242209706484,56801420.38756982,3958430181.4352984,24334105330.3256,1.0,1.0,1.0,8.072830588235297,0.00010758823529411765,3264857527.877285
6,17,110,0,25,0,0,0.048720781288169895,34235386.25880124,3707233911.8955793,20154405608.514618,1.0,1.0,1.0,8.684844,7.899999999999998e-05,2780852075.2665696
6,17,120,0,25,0,0,0.04156190055558207,71048654.61640888,4275958648.717504,24546029383.656197,1.0,1.0,1.0,6.822963529411764,8.005882352941178e-05,3359528696.001519
6,18,10,65,25,51,2166,0.04333859535618142,443994082.69978577,36687338112.843414,239954193429.9054,1.0,1.0,1.0,75.81841805555557,0.00015316666666666666,31643682496.42922
6,18,20,56,25,53,1993,0.04148694559108583,209922436.14416006,17778373078.57576,107089725484.48083,1.0,1.0,1.0,36.89264166666666,7.188888888888887e-05,14411592709.82548
6,18,30,24,25,35,1740,0.05245072984918297,171103693.32181758,11033978236.030022,58392079967.133125,1.0,1.0,1.0,30.174047388888894,9.427777777777779e-05,8165776098.49578
6,18,40,23,25,48,1987,0.04165246788222057,133302046.3832474,9197193866.39927,54450636490.65397,1.0,1.0,1.0,18.819313111111107,0.00023727777777777777,7377813772.889457
6,18,50,34,25,25,1070,0.045982370979476446,114858146.90945318,7088669864.709408,46778358274.9982,1.0,1.0,1.0,16.278388944444444,6.305555555555555e-05,6175970432.280973
6,18,60,0,25,36,2220,0.04543824434063774,93146104.49564211,6814564971.437147,36124685751.82964,1.0,1.0,1.0,14.677610944444446,6.038888888888888e-05,5040583778.503357
